Age;Gender;Country;Income;ProductQuality;ServiceQuality;PurchaseFrequency;FeedbackScore;LoyaltyLevel;SatisfactionScore
43;Male;USA;39841;10;9;4;Low;Gold;100.0
64;Female;Canada;91830;5;5;17;Low;Silver;100.0
51;Female;Canada;81241;9;8;15;Medium;Bronze;100.0
40;Female;Germany;97024;3;10;18;Medium;Bronze;100.0
48;Male;USA;50478;9;1;16;High;Gold;91.35
67;Male;UK;66422;1;7;17;Medium;Silver;83.57
37;Female;Canada;43421;4;4;3;Low;Bronze;70.58
29;Female;Germany;113562;2;4;20;High;Bronze;89.63
40;Male;France;73079;7;7;4;High;Silver;100.0
21;Male;France;64528;3;1;9;Low;Silver;36.39
40;Male;Germany;106421;4;2;18;Medium;Bronze;75.7
65;Female;France;62813;7;4;2;Low;Silver;100.0
65;Male;USA;91356;6;2;12;High;Gold;100.0
18;Male;Canada;93599;4;8;17;Medium;Gold;85.36
42;Male;UK;66109;7;9;20;Medium;Gold;100.0
19;Male;France;49383;10;10;2;Medium;Gold;100.0
47;Female;USA;60265;6;10;6;Medium;Gold;98.64
20;Male;Canada;91233;8;1;4;Medium;Bronze;86.8
38;Female;USA;40209;10;7;6;Low;Gold;100.0
42;Male;USA;52744;9;7;16;High;Gold;100.0
37;Female;Canada;61336;5;9;8;Medium;Gold;77.07
66;Female;France;64686;6;10;1;High;Bronze;100.0
69;Female;France;111361;9;3;6;Low;Silver;100.0
39;Female;USA;91843;4;1;8;High;Silver;67.97
38;Male;Germany;63036;10;9;18;Medium;Bronze;100.0
50;Female;France;85529;7;3;16;Low;Silver;86.56
69;Female;USA;87313;1;7;11;Medium;Gold;93.46
55;Female;UK;119684;4;4;4;High;Gold;70.3
32;Female;UK;98444;10;10;4;Medium;Silver;100.0
63;Female;Germany;47861;8;3;10;High;Bronze;89.93
69;Male;USA;93144;3;8;18;Medium;Gold;100.0
32;Female;UK;85553;2;4;17;Low;Bronze;71.58
63;Female;France;89711;3;6;1;Low;Silver;77.37
42;Female;USA;105818;7;10;20;Low;Bronze;100.0
38;Female;Germany;84322;5;5;12;High;Bronze;100.0
41;Female;Germany;100482;8;1;12;Medium;Bronze;74.09
22;Male;France;107196;1;4;13;Low;Bronze;68.35
23;Male;UK;98526;7;7;16;Low;Bronze;100.0
66;Male;UK;73988;5;2;3;Medium;Silver;57.56
60;Female;Germany;52756;5;4;12;Low;Bronze;69.49
65;Female;Canada;92873;5;1;15;High;Gold;78.26
61;Male;Germany;108831;8;1;6;Low;Gold;93.19
64;Female;Germany;63173;3;1;4;Medium;Gold;57.61
40;Male;USA;74346;1;2;3;High;Silver;38.76
21;Female;France;81884;1;4;16;Medium;Bronze;63.57
44;Female;USA;68190;8;5;7;High;Gold;100.0
35;Female;Germany;45953;5;8;1;High;Silver;100.0
38;Male;USA;92494;4;6;6;Medium;Bronze;74.97
45;Male;UK;75934;4;6;3;Medium;Gold;97.69
52;Male;Germany;52881;5;2;4;High;Gold;51.51
39;Male;UK;100696;7;5;12;Low;Gold;100.0
57;Male;UK;42496;6;7;8;Medium;Bronze;100.0
40;Male;France;103823;7;8;8;Low;Bronze;100.0
20;Female;UK;75065;4;1;13;High;Gold;64.38
57;Male;USA;84024;1;2;6;Medium;Gold;34.42
67;Male;USA;60067;4;7;8;Medium;Silver;86.18
27;Male;Canada;80969;3;4;4;High;Bronze;48.18
42;Male;France;49704;10;3;15;High;Gold;100.0
69;Female;Canada;76108;6;3;17;Low;Bronze;100.0
66;Male;UK;94531;8;9;6;High;Gold;100.0
25;Male;Germany;89720;3;3;7;Low;Silver;72.1
28;Male;USA;32499;8;7;1;Low;Gold;95.8
22;Male;Germany;94654;2;6;14;Medium;Gold;74.0
62;Female;Canada;64995;7;10;20;High;Silver;100.0
54;Female;Canada;77318;3;5;20;Medium;Silver;89.23
62;Female;USA;117657;10;8;16;Medium;Gold;100.0
55;Male;Canada;95897;3;3;1;Low;Gold;64.8
46;Male;Germany;81535;8;4;8;Medium;Silver;100.0
22;Male;Canada;53954;10;6;14;Low;Silver;100.0
26;Female;Germany;51818;2;7;10;Low;Gold;83.52
65;Female;UK;115507;9;6;4;Medium;Gold;100.0
19;Male;France;99437;8;9;17;Medium;Bronze;100.0
18;Male;USA;32267;4;3;13;Medium;Gold;49.81
57;Male;Canada;84247;9;2;9;Medium;Silver;98.39
68;Female;USA;96032;1;8;12;High;Bronze;88.19
47;Male;Canada;61613;10;6;20;Low;Bronze;100.0
28;Female;UK;85483;9;4;13;High;Gold;100.0
45;Female;Germany;105115;8;3;17;Medium;Silver;89.56
61;Female;USA;93911;8;2;15;Low;Bronze;90.21
29;Female;UK;58564;1;6;15;Low;Bronze;77.02
56;Male;UK;76254;8;2;15;Medium;Gold;92.42
43;Female;France;59543;1;5;5;High;Bronze;58.82
30;Male;UK;43068;10;8;15;High;Silver;100.0
25;Female;France;65125;1;5;10;Medium;Silver;56.19
45;Male;UK;40142;2;1;15;Medium;Bronze;54.64
47;Female;Germany;51078;2;3;6;Low;Bronze;58.63
26;Female;UK;101657;5;2;12;High;Gold;93.66
56;Female;Germany;37328;7;3;4;Medium;Bronze;89.06
48;Male;Canada;111732;6;5;17;Low;Gold;100.0
38;Female;UK;106715;4;3;15;Low;Bronze;68.88
64;Female;UK;97769;1;6;15;Low;Bronze;87.4
51;Female;Canada;44828;5;8;6;Medium;Bronze;84.61
48;Female;France;88405;4;3;6;Medium;Gold;79.75
69;Male;Germany;71711;9;2;6;Low;Bronze;100.0
42;Male;Canada;94299;6;4;6;High;Gold;97.0
29;Male;Canada;43301;5;9;17;Low;Bronze;100.0
18;Male;USA;73745;4;8;11;Low;Gold;94.91
39;Female;Canada;93081;5;1;3;Medium;Silver;55.59
57;Female;France;86378;3;4;7;Medium;Gold;78.89
54;Female;France;47291;8;1;16;Low;Gold;77.46
64;Male;France;49043;9;2;4;High;Silver;91.74
18;Female;Germany;41437;1;5;16;Low;Gold;49.57
18;Male;Germany;77007;5;5;16;High;Silver;82.75
59;Male;UK;100284;6;3;18;Medium;Silver;100.0
59;Male;Canada;57952;3;3;13;Medium;Silver;65.45
38;Female;France;79109;3;6;5;High;Bronze;84.93
32;Female;Canada;86054;6;10;9;Medium;Silver;100.0
34;Female;UK;35188;8;10;11;Medium;Bronze;100.0
39;Male;UK;31513;2;2;4;Medium;Bronze;33.24
55;Female;France;87919;10;6;7;High;Silver;100.0
52;Female;Canada;72137;7;3;10;Low;Silver;88.19
62;Male;UK;54274;1;4;13;Medium;Gold;58.18
33;Female;USA;70854;1;4;1;Low;Silver;59.89
25;Female;Germany;107816;2;8;12;Low;Gold;100.0
64;Male;Canada;34331;9;7;7;Low;Silver;100.0
34;Male;France;43531;5;10;1;Medium;Silver;90.54
34;Female;UK;36337;1;6;13;High;Gold;70.96
43;Male;UK;97842;6;1;10;Low;Silver;77.0
30;Female;UK;59166;2;6;17;Medium;Silver;72.93
34;Female;Germany;45308;9;5;11;High;Bronze;100.0
55;Male;Canada;112403;7;9;19;High;Silver;100.0
34;Male;UK;51652;1;9;18;Low;Gold;88.11
65;Male;Germany;63197;4;10;8;Low;Gold;100.0
31;Male;USA;60060;10;6;12;Medium;Silver;100.0
62;Female;Canada;96726;1;9;20;Low;Silver;97.58
23;Male;France;30845;7;2;13;High;Silver;57.28
52;Male;Canada;91989;5;8;9;Medium;Silver;100.0
63;Male;UK;109899;5;6;15;Medium;Bronze;100.0
31;Male;France;40692;9;7;15;High;Gold;100.0
64;Female;Canada;117653;7;6;17;Medium;Bronze;100.0
25;Male;France;53036;4;6;11;Medium;Gold;73.5
32;Male;Canada;114752;1;9;18;Low;Silver;84.84
44;Female;USA;87511;4;9;6;High;Gold;100.0
30;Male;USA;36765;8;2;10;High;Gold;66.33
66;Female;USA;88402;1;6;18;High;Silver;70.22
48;Female;Canada;34308;10;2;13;Low;Gold;90.22
52;Female;France;69422;7;1;1;High;Bronze;77.75
23;Female;USA;109326;6;6;6;Low;Bronze;89.05
22;Male;Germany;35998;3;7;8;High;Gold;56.04
39;Female;Germany;44072;10;2;1;Medium;Silver;79.66
66;Male;USA;64994;7;8;5;High;Silver;100.0
40;Female;USA;108988;8;6;10;Low;Bronze;100.0
42;Female;UK;75406;2;4;14;High;Gold;79.41
51;Male;Germany;72701;8;7;5;Medium;Silver;100.0
43;Male;Germany;112968;10;8;16;Low;Bronze;100.0
64;Female;USA;112687;6;5;9;Low;Gold;100.0
22;Male;UK;75778;5;4;11;Low;Gold;56.5
43;Female;France;32198;10;6;16;Medium;Silver;100.0
37;Male;UK;92162;5;9;13;High;Bronze;100.0
23;Female;UK;88448;7;7;11;Low;Bronze;98.97
23;Male;Germany;84074;4;1;18;Low;Silver;71.3
67;Male;USA;99099;10;6;13;Low;Gold;100.0
35;Female;USA;51391;1;8;1;Medium;Silver;75.92
21;Female;USA;46223;5;6;2;Low;Silver;76.4
34;Female;UK;56078;7;9;18;High;Bronze;100.0
31;Male;UK;112226;10;6;18;Medium;Bronze;100.0
31;Male;Canada;98204;1;3;6;Medium;Gold;54.3
30;Female;France;108279;5;8;19;High;Gold;100.0
24;Male;Canada;87782;1;3;12;Medium;Silver;70.48
61;Female;France;65193;10;4;7;Medium;Silver;100.0
32;Male;Canada;82208;7;5;7;Low;Silver;62.64
36;Male;Canada;38129;1;9;7;Low;Gold;81.05
60;Male;Canada;71240;9;4;8;Medium;Silver;99.71
64;Female;Canada;113129;10;8;4;High;Bronze;100.0
61;Male;UK;94090;3;6;14;High;Silver;90.45
52;Male;France;68975;10;6;19;Low;Gold;100.0
34;Male;Canada;77787;2;7;6;Medium;Gold;85.16
52;Male;Canada;109511;8;5;2;Medium;Bronze;100.0
36;Female;USA;116834;4;10;7;High;Gold;100.0
37;Male;UK;66158;3;4;4;Low;Bronze;73.67
53;Male;Germany;51143;6;8;1;Medium;Silver;100.0
52;Male;USA;57439;10;10;4;Medium;Silver;100.0
49;Male;Germany;58179;1;2;4;High;Bronze;56.83
65;Female;Canada;87887;1;10;16;High;Bronze;98.8
61;Male;France;50444;7;4;16;Medium;Gold;86.37
57;Male;Germany;36398;7;1;15;Low;Silver;76.53
41;Male;Germany;68949;10;9;4;High;Gold;100.0
34;Male;Germany;54333;8;6;4;Medium;Silver;90.22
24;Female;France;90567;7;6;16;Medium;Gold;82.49
60;Male;USA;73490;5;1;7;Low;Silver;70.74
67;Male;UK;67748;10;1;7;High;Gold;70.55
18;Female;France;90370;7;10;19;High;Silver;100.0
52;Male;USA;32247;2;4;6;Medium;Bronze;58.78
49;Female;Canada;46647;7;2;3;Medium;Bronze;70.69
53;Male;USA;78261;6;1;17;Medium;Bronze;76.92
30;Male;Germany;30745;8;6;7;Low;Gold;77.07
23;Male;USA;116986;7;1;5;High;Silver;91.99
31;Male;USA;91296;7;5;4;Medium;Silver;100.0
54;Male;Canada;36314;6;6;8;High;Silver;77.79
65;Male;Canada;79650;1;5;16;High;Gold;73.61
32;Male;USA;70758;6;4;14;High;Silver;96.16
64;Male;France;104188;7;9;19;High;Bronze;100.0
21;Male;Canada;81610;2;1;10;High;Silver;42.96
57;Male;Germany;78919;3;2;7;High;Silver;57.85
33;Male;France;50315;7;5;7;Low;Bronze;90.53
45;Male;USA;34674;7;2;2;Medium;Silver;78.87
33;Female;Germany;78096;1;2;19;Medium;Gold;44.86
21;Male;Germany;47551;2;8;3;Low;Bronze;72.8
62;Female;France;69352;9;7;11;High;Bronze;100.0
43;Female;USA;48493;7;8;19;Low;Bronze;100.0
45;Male;Germany;60682;3;1;7;Low;Gold;60.49
49;Female;Canada;52248;7;2;13;Low;Bronze;91.52
62;Male;Canada;38916;8;6;4;High;Silver;100.0
19;Male;France;60144;8;1;17;Medium;Gold;73.88
48;Female;Canada;96705;2;5;14;High;Bronze;66.05
20;Female;UK;106026;4;6;17;Low;Bronze;82.39
25;Female;USA;106367;9;5;1;Low;Silver;93.26
41;Male;Germany;67521;5;10;7;Low;Bronze;100.0
32;Female;Germany;67645;9;2;12;Low;Silver;79.38
60;Female;France;81696;5;4;13;High;Silver;77.62
48;Female;France;101237;1;4;14;Low;Bronze;60.69
26;Male;Germany;75834;5;6;6;Low;Silver;82.48
56;Male;Canada;114993;4;10;7;Low;Bronze;100.0
62;Female;France;91720;1;9;11;Low;Bronze;93.55
19;Female;UK;50217;4;2;2;High;Bronze;33.0
25;Female;France;47657;3;4;14;Medium;Silver;45.23
24;Female;Canada;97239;7;1;17;Medium;Bronze;71.58
61;Female;USA;103629;9;1;17;Low;Gold;100.0
68;Female;UK;47416;2;7;8;Medium;Gold;76.37
56;Female;France;108237;4;3;11;Medium;Silver;69.44
59;Male;USA;108313;10;5;6;High;Silver;100.0
33;Female;USA;76484;8;10;7;High;Gold;100.0
52;Female;Germany;86620;9;6;17;Low;Bronze;100.0
47;Male;Canada;51033;5;10;4;High;Gold;100.0
27;Female;Germany;66987;8;3;16;High;Bronze;96.05
55;Male;Canada;119757;6;6;19;Low;Gold;100.0
35;Female;USA;69258;2;8;4;Medium;Gold;75.43
67;Male;France;36094;7;7;1;Low;Gold;100.0
22;Female;Canada;39275;10;1;17;High;Silver;68.45
46;Female;Canada;99240;2;2;20;High;Gold;67.86
56;Male;USA;49765;10;3;20;Medium;Gold;95.96
51;Male;UK;86221;7;8;18;Medium;Bronze;100.0
60;Male;USA;81022;10;7;14;High;Gold;100.0
62;Female;USA;114222;7;4;20;Low;Silver;100.0
40;Female;Canada;94570;1;2;16;High;Silver;64.25
22;Female;USA;44883;9;9;5;High;Gold;100.0
47;Female;Germany;34153;10;3;2;Medium;Bronze;79.28
23;Female;USA;69736;10;8;11;Medium;Silver;100.0
63;Male;France;83852;9;3;16;High;Bronze;100.0
61;Female;USA;94902;6;1;19;High;Gold;95.37
21;Male;USA;101475;7;3;7;High;Gold;85.16
46;Male;France;36669;3;9;2;High;Gold;84.98
40;Female;UK;70343;8;6;1;High;Gold;100.0
23;Female;UK;47317;3;4;19;Low;Silver;80.19
49;Male;UK;88625;6;8;6;Medium;Silver;100.0
59;Female;Germany;111606;8;6;6;Medium;Silver;100.0
35;Male;France;56996;2;9;1;Low;Silver;78.49
32;Female;Germany;99922;8;2;3;Low;Gold;78.95
57;Male;Germany;82903;5;6;3;Low;Gold;75.88
49;Female;Germany;107489;5;7;1;Low;Gold;100.0
26;Female;France;52890;8;1;6;Low;Gold;70.33
54;Female;Canada;79109;2;4;12;Low;Silver;68.26
27;Male;Canada;69638;3;9;18;High;Silver;100.0
37;Female;UK;61881;9;9;17;Medium;Bronze;100.0
23;Male;Germany;90376;9;5;8;High;Silver;100.0
65;Female;UK;66347;9;8;1;Low;Silver;100.0
20;Female;Germany;62026;3;10;6;Medium;Silver;81.84
59;Male;UK;44576;1;10;7;Medium;Bronze;70.13
28;Male;USA;83657;7;5;10;Low;Gold;100.0
60;Male;France;62192;1;3;1;High;Gold;67.99
34;Female;Germany;57585;10;3;14;Medium;Gold;97.44
49;Female;Germany;96335;6;1;16;High;Bronze;80.4
21;Female;Germany;33422;3;10;14;Medium;Silver;86.66
21;Female;France;36761;3;6;10;Medium;Gold;61.13
34;Female;USA;103675;7;10;3;Low;Silver;100.0
58;Female;Canada;44906;1;3;13;Medium;Bronze;63.83
36;Female;France;68206;8;1;20;Medium;Silver;86.88
22;Male;USA;84108;9;4;11;Medium;Silver;100.0
49;Female;UK;112306;6;8;9;Medium;Gold;100.0
39;Male;Germany;107635;8;7;7;Medium;Gold;100.0
23;Female;Germany;99519;6;6;14;Low;Silver;98.23
52;Male;Canada;49209;4;1;7;High;Bronze;59.31
39;Male;UK;67901;1;1;8;Medium;Silver;18.98
18;Male;USA;74114;4;2;13;Medium;Bronze;56.81
37;Female;UK;109786;7;9;3;Medium;Bronze;100.0
39;Male;UK;52640;2;9;11;High;Bronze;83.58
65;Male;Canada;82317;8;9;11;High;Bronze;100.0
28;Male;USA;105203;9;3;7;High;Silver;100.0
30;Male;Canada;31518;1;8;15;High;Bronze;72.66
59;Female;USA;88173;8;9;12;Medium;Silver;100.0
20;Female;France;77203;10;10;18;High;Silver;100.0
26;Female;France;81517;3;4;7;Low;Silver;68.81
29;Female;Germany;90063;4;4;6;High;Bronze;79.95
40;Male;Canada;94090;6;10;16;Low;Silver;100.0
31;Female;France;88134;5;1;19;High;Silver;68.46
50;Male;UK;107266;4;8;4;High;Silver;100.0
35;Female;UK;84817;6;6;14;High;Bronze;84.52
66;Male;France;61634;7;4;20;High;Silver;84.57
58;Male;Canada;88646;9;1;18;Medium;Silver;93.78
26;Male;Germany;86813;9;3;16;Low;Silver;83.62
40;Male;UK;31458;2;7;19;Medium;Gold;75.08
27;Female;Germany;47513;9;2;16;High;Gold;91.67
36;Female;UK;100311;4;9;6;Low;Bronze;90.61
64;Male;USA;74215;2;3;9;Medium;Silver;66.28
22;Male;France;44832;8;6;16;Medium;Bronze;96.24
64;Female;Canada;104951;4;5;1;Low;Silver;68.89
69;Female;UK;68280;2;3;15;Medium;Bronze;60.87
40;Female;France;109223;3;4;20;Low;Bronze;100.0
47;Male;Germany;56351;9;8;18;Medium;Gold;100.0
42;Male;Canada;34921;6;1;7;High;Silver;59.38
45;Male;Canada;32805;10;9;14;High;Bronze;100.0
51;Male;France;99602;10;4;10;Low;Silver;100.0
62;Female;France;92912;5;4;5;Medium;Gold;89.69
65;Male;France;110543;7;2;16;Medium;Silver;100.0
64;Female;USA;101303;2;5;4;High;Bronze;67.29
42;Male;USA;70470;9;8;19;Low;Silver;100.0
27;Female;Canada;99413;10;1;15;Low;Gold;100.0
31;Male;France;78866;9;3;17;Low;Gold;82.75
59;Female;USA;44869;10;7;15;Low;Bronze;100.0
63;Female;Canada;115914;10;6;14;High;Gold;100.0
47;Male;UK;92396;8;9;11;Low;Gold;100.0
58;Female;France;103395;2;10;3;Medium;Bronze;100.0
42;Female;USA;35276;6;9;13;Low;Gold;100.0
31;Female;Canada;115644;4;5;8;Low;Bronze;89.88
52;Male;France;81572;3;7;15;Low;Bronze;92.21
69;Male;Canada;36372;3;3;2;Medium;Silver;61.98
65;Male;UK;38612;9;4;1;High;Silver;100.0
51;Male;Canada;94169;4;10;4;Medium;Silver;100.0
27;Female;Canada;107949;8;2;16;Low;Bronze;80.78
52;Female;UK;107865;1;9;4;High;Bronze;88.81
28;Male;Germany;39319;10;6;4;Medium;Silver;89.62
28;Female;France;34001;4;9;5;Medium;Bronze;98.25
38;Male;UK;84433;8;3;18;Low;Silver;93.37
38;Male;UK;48805;8;9;2;Medium;Silver;100.0
39;Female;France;59938;10;3;16;Low;Gold;83.25
62;Male;Canada;73081;5;9;18;High;Bronze;100.0
24;Female;USA;77054;7;8;7;Medium;Silver;100.0
34;Male;France;49098;9;6;12;Low;Silver;100.0
19;Male;UK;89049;3;7;12;High;Gold;68.8
29;Male;Canada;112713;3;7;15;Low;Silver;98.49
59;Female;Germany;73315;8;6;7;Low;Bronze;100.0
35;Male;Canada;100972;4;10;16;Low;Gold;100.0
28;Female;USA;116433;3;9;9;Medium;Silver;100.0
33;Male;Canada;60824;10;9;18;Low;Bronze;100.0
66;Male;USA;73010;9;1;20;Medium;Silver;89.18
68;Female;Germany;63254;10;4;7;Low;Gold;93.68
35;Female;Germany;32712;10;2;14;Low;Bronze;100.0
52;Female;Canada;119752;10;10;16;Low;Bronze;100.0
43;Female;France;46229;8;4;4;Medium;Gold;96.64
33;Female;France;34800;6;6;18;Medium;Gold;96.97
23;Female;France;44591;4;7;19;High;Gold;79.27
61;Male;Germany;110331;1;5;4;Low;Gold;90.19
60;Female;USA;55892;8;10;20;High;Gold;100.0
64;Male;UK;119356;4;9;9;Low;Bronze;100.0
64;Male;Canada;35713;2;9;15;High;Gold;61.69
65;Male;USA;44990;6;4;12;Medium;Gold;88.03
59;Female;UK;94806;10;1;16;Medium;Gold;100.0
29;Male;Germany;40892;1;1;6;Low;Bronze;Kas.48
30;Male;UK;39803;7;1;1;Low;Gold;56.34
21;Male;Germany;61609;9;3;5;Low;Silver;79.31
56;Female;Germany;113017;6;2;14;High;Silver;94.43
19;Male;USA;108970;5;9;14;Medium;Bronze;100.0
43;Female;France;44489;3;5;4;Low;Silver;85.42
44;Male;France;69322;10;9;2;Medium;Gold;100.0
44;Female;USA;101189;7;10;14;High;Silver;100.0
32;Female;Canada;58751;2;5;10;Medium;Bronze;78.87
25;Male;Germany;72688;1;7;20;Medium;Gold;82.97
24;Male;Canada;119073;2;3;14;Low;Silver;57.02
64;Female;Germany;98138;4;5;18;Medium;Bronze;80.36
63;Female;Germany;89624;4;9;3;Low;Bronze;100.0
57;Female;France;44573;2;8;3;Medium;Silver;74.21
29;Male;France;93552;4;5;16;Medium;Silver;80.81
30;Male;Germany;71738;5;2;11;Low;Bronze;65.1
60;Male;France;85933;8;8;12;Medium;Silver;100.0
34;Male;France;42008;5;7;10;Low;Silver;83.38
34;Male;UK;49285;1;9;20;High;Silver;73.79
53;Female;UK;70028;10;9;6;High;Gold;100.0
38;Female;Germany;33105;7;5;18;Medium;Bronze;92.3
25;Female;France;97561;8;9;2;Low;Silver;100.0
22;Female;UK;31602;4;6;5;High;Silver;82.65
43;Female;Canada;83196;1;7;4;Medium;Silver;85.08
33;Female;Germany;84073;10;2;19;High;Bronze;85.61
53;Male;Germany;49210;10;5;14;Medium;Silver;100.0
45;Female;Canada;92001;4;6;19;High;Silver;81.23
46;Male;Germany;49053;10;3;8;Medium;Gold;78.36
64;Male;France;37012;4;2;10;Low;Silver;72.96
29;Male;UK;58871;5;10;4;High;Silver;100.0
54;Male;USA;66709;8;9;6;Low;Gold;100.0
47;Female;UK;88830;4;9;18;High;Gold;100.0
40;Female;Canada;62263;1;2;7;Low;Bronze;59.13
33;Male;USA;45807;1;2;7;Low;Bronze;51.18
31;Male;France;61907;4;2;9;High;Bronze;62.73
27;Female;France;83277;10;7;19;High;Gold;100.0
24;Female;UK;42215;7;2;8;Medium;Bronze;70.63
62;Female;Germany;50476;5;8;7;Low;Silver;100.0
69;Male;Germany;117134;7;6;5;Medium;Gold;100.0
54;Female;Canada;112322;10;5;11;Medium;Silver;100.0
46;Female;Germany;88928;5;7;5;Medium;Bronze;100.0
20;Male;France;75644;9;9;3;Low;Bronze;100.0
32;Male;USA;101929;9;9;12;Low;Bronze;100.0
53;Female;UK;83181;3;4;11;Low;Silver;82.07
64;Male;UK;68332;8;8;8;Medium;Gold;100.0
63;Male;UK;115912;10;1;2;Low;Gold;100.0
69;Male;Germany;67325;5;3;20;High;Bronze;100.0
36;Male;USA;95418;5;2;15;Medium;Gold;68.16
30;Male;Germany;83318;7;9;7;Low;Bronze;100.0
59;Female;Germany;80425;1;7;18;Low;Bronze;94.69
38;Female;France;47698;1;4;18;High;Silver;51.71
54;Female;France;78608;8;3;19;High;Bronze;100.0
44;Female;Germany;84829;2;7;7;High;Silver;71.41
69;Female;Canada;40429;5;9;16;Low;Silver;100.0
46;Male;Canada;117071;9;10;7;High;Bronze;100.0
37;Female;Canada;46784;1;5;2;High;Bronze;58.45
42;Female;Germany;117538;4;7;14;Low;Gold;100.0
23;Male;USA;34018;5;1;9;Low;Bronze;47.66
53;Female;Canada;71556;10;9;3;High;Gold;100.0
19;Female;France;44329;6;5;14;Medium;Gold;85.27
39;Female;UK;51856;8;10;11;High;Gold;100.0
49;Female;UK;84456;6;3;12;Low;Gold;74.34
33;Male;Germany;83759;9;7;15;Medium;Bronze;100.0
35;Male;UK;102326;3;6;7;High;Bronze;80.29
22;Male;Germany;36535;10;9;12;High;Bronze;100.0
53;Male;UK;46953;5;8;14;Low;Silver;95.48
47;Female;USA;103455;9;8;10;High;Bronze;100.0
62;Female;USA;49029;8;6;20;High;Bronze;100.0
36;Female;USA;117066;7;5;13;High;Gold;100.0
40;Female;USA;119321;3;6;19;High;Silver;96.1
51;Female;Canada;73363;9;1;14;High;Bronze;76.62
30;Female;France;81308;9;10;18;High;Gold;100.0
60;Female;USA;85314;3;2;5;Low;Silver;71.13
46;Male;Canada;34220;9;6;17;High;Bronze;100.0
53;Male;Germany;119527;1;5;19;Low;Gold;98.74
39;Male;UK;33653;1;1;11;Medium;Gold;40.29
69;Male;UK;51015;1;6;12;Medium;Gold;82.96
69;Male;Canada;84423;3;2;4;Medium;Gold;70.13
64;Male;UK;42445;8;4;3;Low;Silver;80.07
53;Male;USA;86998;6;9;11;High;Gold;100.0
26;Female;UK;88028;7;6;2;High;Gold;85.24
56;Female;USA;71570;6;3;17;High;Gold;100.0
68;Female;USA;39457;1;9;6;Medium;Gold;88.25
36;Female;UK;109024;5;1;5;High;Silver;65.84
55;Male;Canada;31186;7;3;10;Medium;Bronze;77.92
23;Male;Germany;81347;8;5;1;Medium;Bronze;79.15
69;Male;Canada;105043;5;3;9;High;Gold;100.0
64;Male;France;99578;8;6;6;Medium;Bronze;100.0
32;Female;France;77473;5;5;12;Low;Silver;85.15
37;Female;USA;99266;1;10;4;High;Silver;100.0
26;Female;USA;53207;5;2;15;High;Bronze;59.03
49;Female;Canada;75164;1;8;13;Low;Gold;88.91
21;Male;Canada;95880;4;2;9;Medium;Gold;48.35
67;Male;USA;80545;8;10;15;Medium;Bronze;100.0
35;Female;Germany;62789;6;10;13;High;Silver;100.0
22;Female;Germany;39408;2;2;16;Low;Gold;45.92
37;Female;France;86312;3;6;5;Medium;Gold;78.21
40;Female;Germany;70944;1;3;11;Medium;Bronze;42.38
28;Female;UK;51218;6;2;8;Medium;Gold;69.6
54;Female;USA;105415;10;2;11;Medium;Silver;100.0
39;Male;Canada;81286;10;9;13;Low;Gold;100.0
21;Male;USA;108885;6;9;11;Low;Bronze;100.0
46;Female;UK;59310;3;7;2;High;Gold;67.96
61;Male;Germany;108950;1;9;10;High;Gold;100.0
51;Male;USA;107227;2;2;17;Medium;Gold;68.15
30;Male;UK;42508;1;2;16;High;Silver;47.75
59;Female;Germany;85914;3;3;19;High;Bronze;85.12
26;Male;France;74457;3;10;13;Medium;Gold;97.64
59;Male;France;44921;1;8;3;Low;Silver;71.46
48;Male;France;91817;8;5;10;Low;Bronze;100.0
24;Male;UK;74615;7;1;20;High;Bronze;66.76
21;Male;UK;51992;6;1;6;Low;Bronze;83.23
36;Male;Canada;85277;7;7;20;Medium;Bronze;100.0
59;Male;Canada;54981;2;6;3;High;Bronze;84.29
47;Female;France;59886;8;6;5;Low;Gold;100.0
48;Male;USA;77059;7;10;18;Medium;Silver;100.0
52;Male;Germany;103144;1;5;5;Low;Bronze;78.46
38;Male;Canada;53377;8;2;11;Medium;Bronze;74.26
48;Female;Germany;91623;7;9;16;Medium;Bronze;100.0
36;Male;USA;70353;10;4;17;High;Silver;100.0
48;Female;France;115526;10;2;12;High;Bronze;99.86
49;Male;Germany;60888;2;3;13;Medium;Bronze;58.07
19;Female;France;65849;3;8;15;High;Gold;91.82
69;Female;Germany;99427;6;10;11;Medium;Bronze;100.0
27;Female;USA;34407;6;4;8;Medium;Silver;73.5
19;Male;Canada;87238;4;3;17;Low;Gold;94.12
19;Female;UK;103865;8;3;14;High;Gold;99.35
41;Male;France;110626;10;10;9;Medium;Gold;100.0
34;Male;Canada;41712;2;10;1;High;Gold;81.93
49;Male;Germany;102732;3;6;12;Low;Gold;85.78
33;Female;Canada;90845;7;10;1;Low;Silver;100.0
33;Male;UK;80216;4;10;11;High;Silver;100.0
63;Female;France;73716;8;9;5;Medium;Gold;100.0
56;Male;France;117851;10;7;4;High;Gold;100.0
48;Male;Canada;35148;9;5;12;High;Gold;72.97
60;Male;USA;100128;6;10;4;Low;Bronze;100.0
41;Male;Germany;51182;6;3;12;High;Silver;98.94
18;Male;Canada;99639;6;10;10;High;Silver;98.78
28;Male;USA;113672;8;1;17;High;Gold;83.96
38;Male;France;64091;2;9;7;Low;Bronze;89.77
